name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
Grace,1991,10,25,18,27.1,-64.9,25,1008,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Grace,1991,10,26,0,27.1,-65.2,30,1007,0,0,0,0,1,0,0,0,0,-0.0,29.75007574877368,4.958345958128947,27.1,-64.9,0
Grace,1991,10,26,6,27.2,-65.5,35,1005,0,0,0,0,0,1,0,0,0,-18.434948822921807,31.734197116408676,5.289032852734779,27.1,-65.2,0
Grace,1991,10,26,12,27.3,-66.0,35,1002,0,0,0,0,0,1,0,0,0,-11.30993247402037,50.74184091310943,8.456973485518239,27.2,-65.5,0
Grace,1991,10,26,18,27.5,-66.5,40,997,0,0,0,0,0,1,0,0,0,-21.801409486351744,54.189587869749595,9.031597978291598,27.3,-66.0,0
Grace,1991,10,27,0,28.1,-67.1,45,993,0,0,0,0,0,1,0,0,0,-45.000000000000334,88.97568148721363,14.82928024786894,27.5,-66.5,0
Grace,1991,10,27,6,28.9,-66.9,50,990,0,0,0,0,0,1,0,0,0,75.96375653207424,90.79844214776824,15.133073691294706,28.1,-67.1,0
Grace,1991,10,27,12,29.8,-66.4,55,988,0,0,0,0,0,1,0,0,0,60.94539590092291,110.94582547435913,18.490970912393184,28.9,-66.9,0
Grace,1991,10,27,18,30.8,-67.2,60,987,0,0,0,0,0,0,0,1,0,-51.34019174591001,134.94909244110283,22.49151540685047,29.8,-66.4,0
Grace,1991,10,28,0,31.6,-68.1,65,985,0,0,1,0,0,0,0,0,0,-41.63353933657049,123.38666144881876,20.564443574803125,30.8,-67.2,0
Grace,1991,10,28,6,32.2,-68.5,65,983,0,0,1,0,0,0,0,0,0,-56.3099324740199,76.53809714075227,12.756349523458711,31.6,-68.1,0
Grace,1991,10,28,12,32.3,-68.5,65,983,0,0,1,0,0,0,0,0,0,90.0,11.089119392014142,1.8481865653356904,32.2,-68.5,0
Grace,1991,10,28,18,32.4,-67.8,65,982,0,0,1,0,0,0,0,0,0,8.13010235415606,66.81917762891155,11.136529604818593,32.3,-68.5,0
Grace,1991,10,29,0,31.8,-66.8,70,980,0,0,1,0,0,0,0,0,0,-30.963756532073432,115.48148074033236,19.246913456722066,32.4,-67.8,0
Grace,1991,10,29,6,31.6,-65.3,75,981,0,0,1,0,0,0,0,0,0,-7.594643368591418,143.91684976733816,23.986141627889698,31.8,-66.8,0
