name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
Beta,2005,10,26,18,10.4,-80.9,30,1007,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
Beta,2005,10,27,0,10.7,-81.1,30,1007,0,0,0,0,0,0,1,0,0,-56.30993247402163,39.75314089643869,6.625523482739781,10.4,-80.9,0
Beta,2005,10,27,6,11.0,-81.3,35,1005,0,0,0,0,0,0,0,1,0,-56.3099324740199,39.74183413846826,6.623639023078044,10.7,-81.1,0
Beta,2005,10,27,12,11.3,-81.3,45,1000,0,0,0,0,0,0,0,1,0,90.0,33.18474373961408,5.530790623269013,11.0,-81.3,0
Beta,2005,10,27,18,11.6,-81.3,50,997,0,0,0,0,0,0,0,1,0,90.0,33.18541442049263,5.530902403415438,11.3,-81.3,0
Beta,2005,10,28,0,11.9,-81.2,50,995,0,0,0,0,0,0,0,1,0,71.56505117707901,34.93037878546932,5.821729797578221,11.6,-81.3,0
Beta,2005,10,28,6,12.3,-81.1,50,994,0,0,0,0,0,0,0,1,0,75.96375653207238,45.568676776649426,7.594779462774905,11.9,-81.2,0
Beta,2005,10,28,12,12.8,-81.0,50,993,0,0,0,0,0,0,0,1,0,78.69006752598041,56.3708616616455,9.39514361027425,12.3,-81.1,0
Beta,2005,10,28,18,13.2,-81.1,50,991,0,0,0,0,0,0,0,1,0,-75.96375653207424,45.562547402933745,7.593757900488957,12.8,-81.0,0
Beta,2005,10,29,0,13.4,-81.2,60,988,0,0,0,0,0,0,0,1,0,-63.43494882292019,24.637177813299115,4.106196302216519,13.2,-81.1,0
Beta,2005,10,29,6,13.6,-81.4,70,985,0,0,1,0,0,0,0,0,0,-44.99999999999949,30.95869992962936,5.159783321604894,13.4,-81.2,0
Beta,2005,10,29,12,13.7,-81.6,75,982,0,0,1,0,0,0,0,0,0,-26.56505117707921,24.303373347200623,4.050562224533437,13.6,-81.4,0
Beta,2005,10,29,18,13.7,-82.1,75,980,0,0,1,0,0,0,0,0,0,-0.0,54.08632278216525,9.014387130360875,13.7,-81.6,0
Beta,2005,10,30,0,13.6,-82.6,90,970,0,0,1,0,0,0,0,0,0,11.309932474020174,55.21745810644523,9.20290968440754,13.7,-82.1,0
Beta,2005,10,30,6,13.3,-83.1,100,962,0,0,1,0,0,0,0,0,0,30.963756532073432,63.506306656775294,10.584384442795882,13.6,-82.6,0
Beta,2005,10,30,12,12.9,-83.5,90,970,0,0,1,0,0,0,0,0,0,44.999999999999616,61.96608216319799,10.327680360532998,13.3,-83.1,0
Beta,2005,10,30,18,12.7,-84.1,55,990,0,0,0,0,0,0,0,1,0,18.434948822922262,68.79751635504917,11.466252725841528,12.9,-83.5,1
Beta,2005,10,31,0,12.7,-84.9,20,1000,0,0,0,0,0,0,1,0,0,-0.0,86.89083096205304,14.481805160342176,12.7,-84.1,1
