name,year,month,day,hour,lat,long,wind,pressure,status_disturbance,status_extratropical,status_hurricane,status_other low,status_subtropical depression,status_subtropical storm,status_tropical depression,status_tropical storm,status_tropical wave,bearing_last_deg,displacment_km,speed_kmh,last_loc_lat,last_loc_long,land
Cora,1978,8,7,12,13.0,-35.0,25,1010,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
Cora,1978,8,7,18,13.4,-36.2,25,1010,0,0,0,0,0,0,1,0,0,-18.434948822921985,137.3977683361766,22.89962805602943,13.0,-35.0,0
Cora,1978,8,8,0,13.8,-37.8,25,1009,0,0,0,0,0,0,1,0,0,-14.03624346792654,178.71437410417522,29.785729017362534,13.4,-36.2,0
Cora,1978,8,8,6,13.9,-39.6,30,1008,0,0,0,0,0,0,1,0,0,-3.179830119864216,194.9004459426323,32.48340765710538,13.8,-37.8,0
Cora,1978,8,8,12,14.0,-41.5,50,1003,0,0,0,0,0,0,0,1,0,-3.0127875041833314,205.60620453123624,34.267700755206036,13.9,-39.6,0
Cora,1978,8,8,18,14.0,-43.2,65,990,0,0,1,0,0,0,0,0,0,-0.0,183.6573919532958,30.609565325549298,14.0,-41.5,0
Cora,1978,8,9,0,14.0,-44.9,80,980,0,0,1,0,0,0,0,0,0,-0.0,183.65739195329505,30.60956532554917,14.0,-43.2,0
Cora,1978,8,9,6,13.9,-46.8,80,980,0,0,1,0,0,0,0,0,0,3.0127875041833314,205.60620453123624,34.267700755206036,14.0,-44.9,0
Cora,1978,8,9,12,13.6,-48.6,70,988,0,0,1,0,0,0,0,0,0,9.462322208025617,197.478127815046,32.913021302507666,13.9,-46.8,0
Cora,1978,8,9,18,13.2,-50.6,65,998,0,0,1,0,0,0,0,0,0,11.309932474020224,221.0898647004286,36.84831078340476,13.6,-48.6,0
Cora,1978,8,10,0,12.8,-52.8,60,1006,0,0,0,0,0,0,0,1,0,10.304846468766016,242.7330140714515,40.45550234524192,13.2,-50.6,0
Cora,1978,8,10,6,12.4,-54.8,55,1007,0,0,0,0,0,0,0,1,0,11.309932474020224,221.77032853492648,36.96172142248775,12.8,-52.8,0
Cora,1978,8,10,12,12.2,-56.8,55,1007,0,0,0,0,0,0,0,1,0,5.710593137499672,218.68296362937352,36.447160604895586,12.4,-54.8,0
Cora,1978,8,10,18,12.1,-58.8,50,1008,0,0,0,0,0,0,0,1,0,2.8624052261117376,217.9645176636064,36.32741961060107,12.2,-56.8,0
Cora,1978,8,11,0,12.0,-60.9,45,1008,0,0,0,0,0,0,0,1,0,2.726310993906254,228.92018195614543,38.153363659357574,12.1,-58.8,0
